beer_id|Name|style|abv|brewery_id
5438|Bohemian Blonde|American Pale Lager|NA|695
54490|Black Eye PA|American IPA|7.1|695
63530|Bill's Pils|German Pilsener|5.6|695
51381|Nokdechiloff American Barleywine|American Barleywine|12.7|695
6835|Pun'kin Head|Pumpkin Ale|5.6|695
40806|Wee Heavy Lass|Scotch Ale / Wee Heavy|NA|16531
43521|Drunken Irishman|Irish Red Ale|7|16531
43498|Break Away Blond|American Blonde Ale|NA|16531
40807|Gear Jammer Amber|American Amber / Red Lager|NA|16531
43497|Three Pin Jack|American Pale Ale (APA)|NA|16531
40805|Plain Jane|American Pale Ale (APA)|NA|16531
34696|Landbier Export Hell|Dortmunder / Export Lager|5.4|6144
60789|Pyraser Kellerbier|Keller Bier / Zwickel Bier|NA|6144
36443|Weizen-Bock|Weizenbock|6.8|6144
35326|Gutsherrn Pils|German Pilsener|5.1|6144
60792|Felsen Brau|Hefeweizen|NA|6144
34273|Angerwirts Weizen|Hefeweizen|5.2|6144
60793|Felsen Brau Dunkel|Dunkelweizen|NA|6144
36337|Schwarzbier|Schwarzbier|5.2|6144
35651|Josephi Bier Starkbier|American Double / Imperial Pilsner|7.5|6144
35561|Alkoholfrei Hefeweizen|Hefeweizen|NA|6144
34612|Ultra|Doppelbock|8.3|6144
32091|6-Korn Bier|Munich Dunkel Lager|4.6|6144
63465|Rose City Raspberry Wheat|Fruit / Vegetable Beer|5.5|24095
63464|Stumbler's Stout|Oatmeal Stout|6.5|24095
63463|Sandy Blonde|American Blonde Ale|5.5|24095
64857|"Ground ""N"" Pound"|American Double / Imperial IPA|7.7|24095
76745|Wee Heavy Scottish Ale|Scotch Ale / Wee Heavy|10|24095
63462|Hop Heaven|American IPA|7.5|24095
63466|CRB Pale Ale|American Pale Ale (APA)|6.7|24095
76773|ESB|Extra Special / Strong Bitter (ESB)|NA|24095
76744|Drunken Elf Stout|American Double / Imperial Stout|9|24095
64858|Double Vision|Dubbel|7.8|24095
64086|Paddler's Porter|Baltic Porter|8.4|24095
74464|Nyctophobia IPA|American Black Ale|NA|24095
71845|Danger Ale|American Pale Ale (APA)|6|25567
61536|Manly Men Beer Club Blackstrapped Molasses|American Brown Ale|7.6|378
20052|MacFoochie's 7+ Scottish Ale|Scottish Ale|7.8|378
2077|S.O.B. (Special Old Bitter Ale)|Extra Special / Strong Bitter (ESB)|5.5|378
31569|Bar Harbor Summer Ale|American Blonde Ale|NA|378
58795|Manly Men Beer Club Sea Smoke|English Barleywine|7.7|378
71319|Manly Men Beer Club Pete Fen's Finest Ale|Fruit / Vegetable Beer|8.5|378
2486|Brother Adam's Bragget Ale|Braggot|11.8|378
13904|Avenue Ale|American Blonde Ale|3.8|2155
